"16"	"19"	"19"	"29"	"24"	"24"	"28"	"35"	"59"	"55"	"56"	"57"	"55"	"76"	"79"	"71"	"46"	"47"	"38"	"29"	"29"	"27"	"23"	"23"	"13"	"22"
"7"	"15"	"60"	"54"	"50"	"53"	"49"	"78"	"85"	"101"	"85"	"120"	"128"	"92"	"162"	"156"	"149"	"110"	"92"	"68"	"57"	"44"	"55"	"53"	"18"	"24"
"5"	"7"	"25"	"31"	"32"	"51"	"43"	"52"	"47"	"59"	"78"	"83"	"111"	"80"	"115"	"150"	"113"	"63"	"63"	"43"	"39"	"34"	"39"	"50"	"19"	"22"
"5"	"6"	"9"	"21"	"20"	"18"	"18"	"32"	"39"	"29"	"38"	"52"	"59"	"60"	"64"	"89"	"74"	"52"	"34"	"20"	"19"	"29"	"18"	"30"	"16"	"16"
"6"	"7"	"11"	"20"	"12"	"13"	"10"	"24"	"21"	"26"	"25"	"40"	"38"	"32"	"41"	"71"	"49"	"21"	"29"	"23"	"23"	"20"	"15"	"22"	"11"	"7"
"10"	"12"	"21"	"23"	"24"	"19"	"32"	"40"	"45"	"59"	"148"	"92"	"70"	"54"	"89"	"88"	"107"	"50"	"47"	"49"	"37"	"40"	"41"	"46"	"29"	"29"
"13"	"14"	"17"	"18"	"26"	"24"	"29"	"47"	"51"	"53"	"49"	"52"	"55"	"66"	"71"	"67"	"76"	"62"	"45"	"33"	"26"	"46"	"32"	"19"	"12"	"15"
"15"	"32"	"27"	"43"	"29"	"48"	"38"	"40"	"55"	"56"	"71"	"73"	"34"	"61"	"84"	"90"	"80"	"54"	"70"	"45"	"49"	"37"	"36"	"26"	"15"	"20"
"37"	"41"	"43"	"37"	"57"	"69"	"74"	"66"	"135"	"105"	"89"	"87"	"113"	"129"	"169"	"139"	"132"	"99"	"89"	"78"	"58"	"49"	"47"	"34"	"28"	"28"
"39"	"29"	"72"	"55"	"65"	"102"	"110"	"89"	"174"	"193"	"118"	"128"	"143"	"140"	"167"	"197"	"149"	"142"	"90"	"109"	"68"	"44"	"35"	"27"	"13"	"15"
