"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"1" 105295.827407597 88303.8096541219 74053.8632100514 62103.4888280951 52081.5951719024 43676.9754298058 83175.4206730256 52797.8455166695 33514.8589408474 21274.4622215743 13504.5396913655 8572.37143652565 5441.54437879475 3454.16731480242 5675.00159401752 314.967972303788 13.0728494319219 0.533225240989361 0.0191101161051193
"2" 19498.4650142722 34701.3759527892 45534.3844355833 52150.65778534 55150.6580891094 55437.4968909071 143965.874403977 116260.110344724 90225.3592727533 68178.6145800855 50572.6934340209 37046.3795480123 26928.8292981693 19500.9492139912 32677.9969975206 3082.65942198205 1530.44244926125 6064.02455775501 1437.71427632392
"3" 464.744175204572 1645.13093980909 3838.10956859608 7098.10819041426 11154.1861981804 15546.2896616698 74834.249312344 88102.72623735 89732.2118443503 84082.733967771 74718.735216275 64100.5925951843 53735.3273998536 44423.5930264862 200504.768889352 186823.081902635 188244.443757962 286588.667729626 62450.1915645302
"4" 38.4465543585321 195.411149239673 557.356378440025 1162.02658178216 1977.89588867458 2927.13041268602 16672.9155770969 22388.6999173779 25699.7644486894 26874.3790920843 26384.38921674 24749.991560103 22442.4815360436 19837.3896107512 70763.4362581431 40856.9805838265 39024.8938797094 81392.4319063441 18279.1730003748
"5" 3.07393662347894 17.2561007503552 52.4675343457743 115.000424036898 204.912692063512 317.786324356843 2279.37956704538 3678.20176215025 4942.19974233646 5921.81919076929 6547.36867856286 6818.8903777321 6782.25073660625 6505.9781814509 23519.4638362430 9257.15791913663 8103.13171595465 22863.0652494177 5286.48646812232
"6" 40.0007685042486 243.414175191398 795.353516938968 1852.35263069332 3466.98105753170 5585.77966092375 42941.6957936735 71986.5464764107 100984.529831168 127908.110545480 151584.558653488 171561.228792816 187884.136719271 200889.720160227 8514035.02544794 14245348.7222987 14794676.3645817 8997422.49838793 1824862.28722689
"7" 6.08613905041442 38.7977679074003 130.769135693345 312.322736722118 598.410693290685 987.468739654795 8666.55692802366 16045.3477468882 24484.3263350132 33333.5632264068 42030.0781917882 50161.8844828782 57475.9775229127 63855.10642605 2423852.3659642 4057839.66808211 4215708.9447461 3304242.37019896 680583.302612409
"8" 0.541336440761803 3.51632718957171 12.0734843158101 29.4323890433557 57.7827201707559 98.2292100668207 1069.49443363669 2304.53509977524 3974.35830108502 5988.89215524559 8224.9925416848 10555.6134763314 12869.2894521259 15079.2664221188 522140.513503223 873387.630807558 907749.881788253 985116.448042526 208099.888427911
"9" 32.3793596706975 58.8789411898483 77.8359400119268 89.4603568527154 94.7948557255474 95.407808692663 248.179417087693 200.611019572991 155.783319029508 117.765933932967 87.3790350296533 64.0196621478486 46.5401678139431 33.7040092372113 92.4514302358548 8.71421146049568 4.3096875150344 10.5674990651023 2.50577524855364
"10" 91.4419945124489 173.308068799448 232.884480501056 269.787295227721 287.148002580564 289.815239166799 756.680495044433 612.949577280869 476.631610503941 360.642650271322 267.750004085048 196.248321892177 142.697918023051 103.349533979761 281.962134980101 26.5292998294721 13.0136245430606 32.0319817139627 7.59762553634776
"11" 0.0590861547787779 0.222525495979735 0.539360610663444 1.02175512742645 1.63234088628496 2.30413078692384 11.5254224922677 14.0416957131032 14.8109676544536 14.3844551511682 13.2506942718796 11.7769483756686 10.2127346288792 8.71156179286067 59.3502820345068 47.5894272379329 47.2592764592745 48.5742946332304 10.6909409968278
"12" 1.53140606921801 5.94989451898202 14.6396213989022 27.9402869520376 44.8140723142694 63.4008995712653 318.005330294782 387.821807513174 409.278787675157 397.612537765489 366.339191720261 325.625496124016 282.382375417693 240.864294224506 1632.79486836191 1304.51029784147 1294.80469618334 1334.58214541113 293.769948232161
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0.147669101402455 0.911074339144577 3.00088922720746 7.03050170822566 13.2273690989557 21.4212773968762 169.528314725745 291.061135215145 417.381660050356 539.515285068036 651.426128665104 749.886871782176 833.85228334281 903.73980731464 60794.4992941303 101767.483954988 105703.085369673 43562.8393069702 8889.99762915526
