97771	96204	96497	98836	96776	96312	99840	101408
100572	97850	96837	97130	99445	97023	96655	100178
96713	100561	98019	97257	97603	99642	97033	96653
93713	96413	100537	98064	97369	97552	99463	96832
91992	93535	96325	100648	98171	97202	97382	99357
2178666	2063036	1958743	1860378	1767801	1674265	1577100	1488939
3673619	3579231	3490678	3402848	3328607	3255642	3193676	3132281
3879146	3923720	3966523	4006680	4093802	4178136	4212646	4233220
3001410	3031553	3072173	3106756	3078938	3038645	3031417	3018667
514711	534086	547192	563974	585484	608990	631277	660934




